id,company,role,locations,degrees,category,label,url
1,Allied Solutions,Product Management Intern - Risk Management,"St Paul, MN",Bachelor's,Product,maybe,https://alliedsolutions.wd501.myworkdayjobs.com/Allied_External/job/St-Paul-MN/Product-Management-Intern---Risk-Management_R-011083
2,American Express,Product Development Intern - US Consumer Services,NYC,Bachelor's,Product,fit,https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26012174
3,Amgen,Operations Graduate Program Intern - Operations,"Cambridge, MA | Remote in USA | Thousand Oaks, CA | Holly Springs, NC | New Albany, OH | West Greenwich, RI",Bachelor's/Master's/MBA/PharmD/PhD,Product,no,https://amgen.wd1.myworkdayjobs.com/careers/job/US---California---Thousand-Oaks/Operations-Graduate-Program---Summer-2027-Internship_R-254659
4,Chamberlain Group,Community Product Management Intern - Summer 2027,"Oak Brook, IL",Bachelor's,Product,no,https://chamberlain.wd1.myworkdayjobs.com/Chamberlain_Group/job/Oak-Brook-IL/Intern--Community-Product-Management--Summer-2026-_JR31309
5,GE Vernova,Controls Product Management Intern,"Longmont, CO | Greenville, SC",Bachelor's/Master's,Product,maybe,https://gevernova.wd5.myworkdayjobs.com/only_confidential_executive_recruiting/job/Greenville/GE-Vernova-Controls-Product-Management-Intern---Summer-2027_R5050803-3
6,Honeywell,Offering Management Intern,United States,Bachelor's,Product,maybe,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/job/155594
7,Oshkosh,Product Management Intern,"Appleton, WI",Bachelor's,Product,fit,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Appleton-Wisconsin-United-States/Product-Management-Intern--Summer-2027-_R49746
8,Schroders,Product Intern,"London, UK",Bachelor's,Product,no,https://ekbq.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/1952
9,Springs Window Fashions,Product Management Intern,"Long Island City, Queens, NY",Bachelor's,Product,maybe,https://careers-springswindowfashions.icims.com/jobs/12892/job?mobile=true&needsRedirect=false
10,TikTok,AI Product Manager Intern - Product Social,"San Jose, CA",Bachelor's,Product,fit,https://lifeattiktok.com/search/7675616554318596357
11,TikTok,Product Manager Intern - Product Infrastructure - Account,"San Jose, CA",Bachelor's/Master's,Product,fit,https://lifeattiktok.com/search/7670009830602721589
12,TikTok,Recommendation Product Manager Intern - Content Ecosystem,"San Jose, CA",Bachelor's/Master's,Product,fit,https://lifeattiktok.com/search/7667874197682899205
13,Vertiv,DC Power Product Management Intern - Summer 2027,"Delaware, OH",Bachelor's/MBA,Product,maybe,https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/20279952
14,Adobe,Machine Learning Engineer Intern,"Seattle, WA | SF | Austin, TX | San Jose, CA | NYC | Lehi, UT",Bachelor's/Master's/PhD,AI/ML/Data,maybe,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2027-Intern---Machine-Learning-Engineer_R171519
15,ATCO,Data Analytics Co-op - Customer Operations,"Edmonton, AB, Canada",(none listed),AI/ML/Data,no,https://eezy.fa.ca2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/20626
16,Booz Allen,Data Scientist Intern - University,"San Diego, CA",Bachelor's,AI/ML/Data,no,https://bah.wd1.myworkdayjobs.com/bah_jobs/job/San-Diego-CA/University---2027-Summer-Games-Data-Scientist-Intern---San-Diego--CA_R0248045
17,Corning,Artificial Intelligence and Machine Learning Intern,"Wilmington, NC",Bachelor's/Master's,AI/ML/Data,no,https://corningjobs.corning.com/job/Wilmington-Artificial-Intelligence-and-Machine-Learning-Intern-Summer-2027-NC-28405/1425596800/?ats=successfactors
18,Edison International,Summer Internship - Data Analytics/Science/Applied Math,"Santa Ana, CA | Fullerton, CA | Irvine, CA | Westminster, CA",Bachelor's,AI/ML/Data,no,https://apply.edisoncareers.com/job/Westminster-2027-Summer-Internship-Data-AnalyticsScienceApplied-Math-Santa-AnaWestminsterIrvineFullerton-CA-92683-5240/1425175800/?ats=successfactors
19,G-Research,Machine Learning Research Intern,"London, UK",Bachelor's/PhD,AI/ML/Data,no,https://gresearch.wd103.myworkdayjobs.com/G-Research/job/London-UK/Machine-Learning-Research-Internship_R3682
20,IAT Insurance Group,Data & Integration Intern,"Milwaukee, WI",Bachelor's,AI/ML/Data,no,https://iatinsurancegroup.wd1.myworkdayjobs.com/iat/job/Milwaukee-WI/Data---Integration-Internship_JR100404
21,Manulife Financial,AI Intern - AI,"Boston, MA",Bachelor's,AI/ML/Data,no,https://manulife.wd3.myworkdayjobs.com/en-US/MFCJH_Jobs/job/Boston-Massachusetts/Summer-Intern-2027---AI_JR26081682
22,Nationwide,Generative AI Intern,"Columbus, OH",(none listed),AI/ML/Data,no,https://nationwide.wd1.myworkdayjobs.com/Nationwide_Career/job/Ohio---Columbus-Metro/Summer-2027-Generative-AI-Internship_100231
23,PricewaterhouseCoopers (PwC),Data Enablement Co-op - Data Enablement,"Montreal, QC, Canada",(none listed),AI/ML/Data,no,https://pwc.wd3.myworkdayjobs.com/Global_Campus_Careers/job/Montreal/September-2027---Data-Enablement--Non-CPA----8-month-Co-op---Montreal_754063WD
24,Royal Bank of Canada,Data Analyst Developer Intern - 8 Months - Group Risk Management,"Toronto, ON, Canada",Bachelor's,AI/ML/Data,no,https://rbc.wd3.myworkdayjobs.com/RBCEARLYTALENT1/job/TORONTO-Ontario-Canada/XMLNAME-2027-Winter---GRM--Data-Analyst-Developer-Intern--8-Months-_R-0000185825-1
25,RTX,Data Analyst Intern - Spare Parts Services,"Longueuil, QC, Canada",Bachelor's,AI/ML/Data,no,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/CA-QC-LONGUEUIL-J01--1000-Blvd-Marie-Victorin--J01-BLDG/Stage---Hiver-2027---Analyste-de-donnes--Services-de-pices-de-rechange---Internship---Winter-2027---Data-Analyst--Spare-Parts-Services_01872182
26,Springs Window Fashions,Dealer Business Operations & Analytics Intern - Summer 2027,"Middleton, WI",Bachelor's,AI/ML/Data,no,https://careers-springswindowfashions.icims.com/jobs/12886/job?mobile=true&needsRedirect=false
27,The Walt Disney Company,Industrial Engineer Intern - Workforce Management,"Lake Buena Vista, FL",Bachelor's,AI/ML/Data,fit,https://disney.wd5.myworkdayjobs.com/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Walt-Disney-World-Workforce-Management-Industrial-Engineering-Intern--Spring-Summer-2027_10158144-1
28,TikTok,Machine Learning Engineer Intern - Commerce Ads - Summer 2027,"San Jose, CA",Bachelor's/Master's/MBA/PhD,AI/ML/Data,no,https://lifeattiktok.com/search/7669711968043092229
29,United Airlines,Pricing & Revenue Management Intern,"Chicago, IL",(none listed),AI/ML/Data,no,https://careers.united.com/us/en/job/WHQ00026532
30,AlixPartners,Data Scientist Intern,NYC,Master's,AI/ML/Data,no,https://www.alixpartners.com/careers/7725335003?gh_jid=7725335003
31,ByteDance,Research Scientist Intern,"San Jose, CA",PhD,AI/ML/Data,no,https://jobs.bytedance.com/en/position/7670375041041320245/detail
32,IMC Trading,Machine Learning Research Intern,"Chicago, IL",PhD,AI/ML/Data,no,https://job-boards.eu.greenhouse.io/imc/jobs/4907430101
33,Shure,Applied Research Science Intern,"Niles, IL",Master's/PhD,AI/ML/Data,no,https://careersus-shure.icims.com/jobs/4967/job?mobile=true&needsRedirect=false
34,TikTok,Machine Learning Engineer Intern - E-Commerce Recommendation Foundation,"San Jose, CA",PhD,AI/ML/Data,no,https://lifeattiktok.com/search/7672883129493948677
35,TikTok,Research Scientist Intern - Neural Graphics and World Models,"San Jose, CA",PhD,AI/ML/Data,no,https://lifeattiktok.com/search/7667935738840090933
36,American Express,AI Engineer Intern - Enterprise Technology Services,"Atlanta, GA",Bachelor's,AI/ML/Data,fit,https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011796
37,American Express,Digital Product Management Intern - Enterprise Technology Services,"Sunrise, FL",Bachelor's,Product,fit,https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011627
38,American Express,Product Management Intern,NYC,Bachelor's,Product,fit,https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011916
39,Atlassian,Product Management Intern,SF,Bachelor's,Product,fit,https://careers-americas.icims.com/jobs/26274/product-management-intern%2c-2027-summer-u.s./job
40,Databricks,Product Management Intern,"SF | Bellevue, WA | Mountain View, CA",Bachelor's/Master's,Product,fit,https://boards.greenhouse.io/embed/job_app?token=6883068002
41,Datadog,Product Management Intern,NYC,Bachelor's,Product,fit,https://careers.datadoghq.com/detail/8108241/?gh_jid=8108241
42,Roblox,Product Management Intern,"San Mateo, CA",Bachelor's,Product,fit,https://careers.roblox.com/jobs/8143981?gh_jid=8143981
43,Mastercard,Technical Product Management Intern - Switching Solutions,"O'Fallon, MO",Bachelor's,Product,fit,https://mastercard.wd1.myworkdayjobs.com/Campus/job/OFallon-Missouri/Product-Management---Technical-Intern--Summer-2027---St-Louis--MO--US_R-284711
44,Google,Data Analytics Apprentice - February 2027 Start,"LA | Chicago, IL | NYC | Atlanta, GA",(none listed),AI/ML/Data,no,https://www.google.com/about/careers/applications/jobs/results/132315893450318534
45,Notion,Data Science Intern,SF,Bachelor's/Master's,AI/ML/Data,no,https://jobs.ashbyhq.com/notion/a67d6f2b-7c13-41d0-b36b-b2f662c9873e/application?embed=true
46,NVIDIA,Autonomous Vehicles and Robotics Intern,"Santa Clara, CA",Bachelor's/Master's/PhD,AI/ML/Data,no,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--Autonomous-Vehicles-and-Robotics_JR2023496
47,Two Sigma,AI Research Scientist Intern - 2027 Summer,NYC,Bachelor's/Master's/PhD,AI/ML/Data,no,https://twosigma.avature.net/careers/JobDetail/14096
48,Deloitte,AI and Data Engineering Summer Scholar Intern - Government & Public Services,"Austin, TX",Bachelor's,AI/ML/Data,no,https://apply.deloitte.com/en_US/careers/JobDetail/Consultative-Offerings-Government-Public-Services-Summer-Scholar-AI-and-Data-Engineering/362479
49,Citadel,Sector Data Scientist Intern,NYC,Bachelor's,AI/ML/Data,no,https://www.citadel.com/careers/details/sector-data-scientist-2027-intern-us/
50,The Walt Disney Company,Menu Planning Intern,"Lake Buena Vista, FL | Glendale, CA",Bachelor's,AI/ML/Data,no,https://disney.wd5.myworkdayjobs.com/disneycareerdc/job/Glendale-CA-USA/WDI-Menu-Planning-Intern--Spring-2027_10159160-1
